intensity,two_theta_deg,theta_deg,theta_rad,sintheta,two_sin_theta,d-spacing,sin_squared_theta
36.1,53,26.5,0.462512252,0.446197813,0.892395626,1.725692008,0.199092488
36.2,70,35,0.610865238,0.573576436,1.147152873,1.342454033,0.328989928
36.3,95.25,47.625,0.831213056,0.73874949,1.47749898,1.042301904,0.545750809
36.4,78,39,0.680678408,0.629320391,1.258640782,1.223542111,0.396044155
36.5,54,27,0.471238898,0.4539905,0.907980999,1.696070734,0.206107374
36.6,46.75,23.375,0.407970713,0.396747407,0.793494814,1.940781431,0.157408505
36.7,36.5,18.25,0.318522588,0.313163806,0.626327613,2.458777113,0.09807157
36.8,31.5,15.75,0.274889357,0.27144045,0.5428809,2.836717963,0.073679918
36.9,30,15,0.261799388,0.258819045,0.51763809,2.975051545,0.066987298
37,32.25,16.125,0.281434342,0.277733846,0.555467692,2.772438475,0.077136089
37.1,32.5,16.25,0.283616003,0.279829014,0.559658028,2.751680353,0.078304277
37.2,20.75,10.375,0.18107791,0.180089964,0.360179928,4.275640811,0.032432395
37.3,8,4,0.06981317,0.069756474,0.139512947,11.03840201,0.004865966
37.4,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
37.5,9.25,4.625,0.080721478,0.080633844,0.161267687,9.549340158,0.006501817
37.6,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
37.7,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
37.8,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
37.9,15,7.5,0.130899694,0.130526192,0.261052384,5.899199133,0.017037087
38,22,11,0.191986218,0.190808995,0.381617991,4.035449159,0.036408073
38.1,31.5,15.75,0.274889357,0.27144045,0.5428809,2.836717963,0.073679918
38.2,15.5,7.75,0.135263017,0.13485093,0.269701861,5.710008811,0.018184773
38.3,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
38.4,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
38.5,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
38.6,3,1.5,0.026179939,0.026176948,0.052353897,29.41519351,0.000685233
38.7,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
38.8,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
38.9,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
39,4.75,2.375,0.04145157,0.0414397,0.0828794,18.58121552,0.001717249
39.1,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
39.2,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
39.3,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
39.4,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
39.5,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
39.6,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
39.7,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
39.8,9.25,4.625,0.080721478,0.080633844,0.161267687,9.549340158,0.006501817
39.9,9.75,4.875,0.085084801,0.084982177,0.169964355,9.060723364,0.00722197
40,11.5,5.75,0.100356432,0.100188062,0.200376123,7.685546437,0.010037648
40.1,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
40.2,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
40.3,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
40.4,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
40.5,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
40.6,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
40.7,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
40.8,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
40.9,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
41,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
41.1,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
41.2,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
41.3,10.25,5.125,0.089448124,0.089328893,0.178657787,8.619831408,0.007979651
41.4,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
41.5,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
41.6,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
41.7,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
41.8,3,1.5,0.026179939,0.026176948,0.052353897,29.41519351,0.000685233
41.9,8.25,4.125,0.071994832,0.071932653,0.143865306,10.7044571,0.005174307
42,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
42.1,3.25,1.625,0.0283616,0.028357798,0.056715596,27.15302483,0.000804165
42.2,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
42.3,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
42.4,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
42.5,3.75,1.875,0.032724923,0.032719083,0.065438166,23.53366701,0.001070538
42.6,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
42.7,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
42.8,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
42.9,22.5,11.25,0.196349541,0.195090322,0.390180644,3.94688979,0.038060234
43,59.75,29.875,0.521417114,0.498109437,0.996218874,1.545845034,0.248113011
43.1,78,39,0.680678408,0.629320391,1.258640782,1.223542111,0.396044155
43.2,54.5,27.25,0.475602221,0.457873915,0.91574783,1.681685666,0.209648522
43.3,32.25,16.125,0.281434342,0.277733846,0.555467692,2.772438475,0.077136089
43.4,22,11,0.191986218,0.190808995,0.381617991,4.035449159,0.036408073
43.5,14.25,7.125,0.124354709,0.124034451,0.248068903,6.207952637,0.015384545
43.6,11.5,5.75,0.100356432,0.100188062,0.200376123,7.685546437,0.010037648
43.7,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
43.8,5.75,2.875,0.050178216,0.050157162,0.100314323,15.35174586,0.002515741
43.9,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
44,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
44.1,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
44.2,3.5,1.75,0.030543262,0.030538513,0.061077026,25.21406313,0.000932601
44.3,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
44.4,13.25,6.625,0.115628063,0.11537058,0.23074116,6.674145166,0.013310371
44.5,19.5,9.75,0.170169602,0.169349504,0.338699008,4.546809896,0.028679254
44.6,83.75,41.875,0.730856624,0.667507725,1.335015449,1.153544703,0.445566563
44.7,140.25,70.125,1.223912138,0.940436556,1.880873112,0.818768682,0.884420916
44.8,81.25,40.625,0.709040009,0.65110545,1.3022109,1.182604139,0.423938307
44.9,24,12,0.20943951,0.207911691,0.415823382,3.703495445,0.043227271
45,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
45.1,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
45.2,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
45.3,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
45.4,5.75,2.875,0.050178216,0.050157162,0.100314323,15.35174586,0.002515741
45.5,4.75,2.375,0.04145157,0.0414397,0.0828794,18.58121552,0.001717249
45.6,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
45.7,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
45.8,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
45.9,3.25,1.625,0.0283616,0.028357798,0.056715596,27.15302483,0.000804165
46,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
46.1,5.25,2.625,0.045814893,0.045798867,0.091597734,16.81264301,0.002097536
46.2,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
46.3,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
46.4,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
46.5,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
46.6,18.5,9.25,0.161442956,0.160742566,0.321485131,4.790268198,0.025838172
46.7,35.25,17.625,0.307614281,0.30278577,0.60557154,2.54305214,0.091679222
46.8,43.75,21.875,0.381790774,0.372582902,0.745165804,2.066654147,0.138818019
46.9,62.25,31.125,0.54323373,0.516906897,1.033813793,1.48962996,0.26719274
47,37,18.5,0.322885912,0.317304656,0.634609313,2.426689884,0.100682245
47.1,25,12.5,0.218166156,0.216439614,0.432879228,3.557574263,0.046846106
47.2,14.5,7.25,0.126536371,0.126198969,0.252397938,6.101476147,0.01592618
47.3,11,5.5,0.095993109,0.095845753,0.191691505,8.033741504,0.009186408
47.4,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
47.5,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
47.6,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
47.7,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
47.8,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
47.9,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
48,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
48.1,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
48.2,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
48.3,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
48.4,3.75,1.875,0.032724923,0.032719083,0.065438166,23.53366701,0.001070538
48.5,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
48.6,3.75,1.875,0.032724923,0.032719083,0.065438166,23.53366701,0.001070538
48.7,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
48.8,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
48.9,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
49,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
49.1,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
49.2,14.5,7.25,0.126536371,0.126198969,0.252397938,6.101476147,0.01592618
49.3,14.25,7.125,0.124354709,0.124034451,0.248068903,6.207952637,0.015384545
49.4,11.25,5.625,0.09817477,0.09801714,0.196034281,7.855768873,0.00960736
49.5,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
49.6,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
49.7,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
49.8,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
49.9,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
50,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
50.1,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
50.2,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
50.3,2.75,1.375,0.023998277,0.023995974,0.047991948,32.08871651,0.000575807
50.4,5.75,2.875,0.050178216,0.050157162,0.100314323,15.35174586,0.002515741
50.5,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
50.6,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
50.7,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
50.8,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
50.9,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
51,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
51.1,3.75,1.875,0.032724923,0.032719083,0.065438166,23.53366701,0.001070538
51.2,3.5,1.75,0.030543262,0.030538513,0.061077026,25.21406313,0.000932601
51.3,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
51.4,7.75,3.875,0.067631509,0.067579962,0.135159925,11.39390988,0.004567051
51.5,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
51.6,4.75,2.375,0.04145157,0.0414397,0.0828794,18.58121552,0.001717249
51.7,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
51.8,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
51.9,7.25,3.625,0.063268185,0.063225985,0.12645197,12.17853707,0.003997525
52,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
52.1,4.25,2.125,0.037088247,0.037079744,0.074159489,20.76605465,0.001374907
52.2,6.25,3.125,0.054541539,0.054514502,0.109029003,14.124682,0.002971831
52.3,5.75,2.875,0.050178216,0.050157162,0.100314323,15.35174586,0.002515741
52.4,8.25,4.125,0.071994832,0.071932653,0.143865306,10.7044571,0.005174307
52.5,13.25,6.625,0.115628063,0.11537058,0.23074116,6.674145166,0.013310371
52.6,16.5,8.25,0.143989663,0.143492622,0.286985244,5.366129556,0.020590133
52.7,27,13.5,0.235619449,0.233445364,0.466890728,3.298416329,0.054496738
52.8,24.5,12.25,0.213802833,0.212177672,0.424355344,3.629034065,0.045019365
52.9,21,10.5,0.183259571,0.182235525,0.364471051,4.225301285,0.033209787
53,18.25,9.125,0.159261294,0.158588893,0.317177785,4.855321118,0.025150437
53.1,16.25,8.125,0.141808002,0.141333198,0.282666396,5.448118431,0.019975073
53.2,20,10,0.174532925,0.173648178,0.347296355,4.434253272,0.03015369
53.3,32,16,0.27925268,0.275637356,0.551274712,2.793525564,0.075975952
53.4,33.25,16.625,0.290160988,0.286106487,0.572212975,2.69130563,0.081856922
53.5,32.5,16.25,0.283616003,0.279829014,0.559658028,2.751680353,0.078304277
53.6,25,12.5,0.218166156,0.216439614,0.432879228,3.557574263,0.046846106
53.7,14.25,7.125,0.124354709,0.124034451,0.248068903,6.207952637,0.015384545
53.8,10.25,5.125,0.089448124,0.089328893,0.178657787,8.619831408,0.007979651
53.9,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
54,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
54.1,10.75,5.375,0.093811447,0.093673909,0.187347817,8.220005038,0.008774801
54.2,9.75,4.875,0.085084801,0.084982177,0.169964355,9.060723364,0.00722197
54.3,6.75,3.375,0.058904862,0.058870804,0.117741607,13.07948851,0.003465772
54.4,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
54.5,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
54.6,3.5,1.75,0.030543262,0.030538513,0.061077026,25.21406313,0.000932601
54.7,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
54.8,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
54.9,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
55,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
55.1,3.5,1.75,0.030543262,0.030538513,0.061077026,25.21406313,0.000932601
55.2,2.5,1.25,0.021816616,0.021814885,0.04362977,35.29700013,0.000475889
55.3,8,4,0.06981317,0.069756474,0.139512947,11.03840201,0.004865966
55.4,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
55.5,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
55.6,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
55.7,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
55.8,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
55.9,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
56,8,4,0.06981317,0.069756474,0.139512947,11.03840201,0.004865966
56.1,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
56.2,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
56.3,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
56.4,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
56.5,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
56.6,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
56.7,14,7,0.122173048,0.121869343,0.243738687,6.318241967,0.014852137
56.8,31,15.5,0.270526034,0.267238376,0.534476752,2.881322703,0.07141635
56.9,74,37,0.645771823,0.601815023,1.203630046,1.279462909,0.362181322
57,93.5,46.75,0.815941425,0.72837097,1.45674194,1.05715361,0.53052427
57.1,79,39.5,0.689405055,0.63607822,1.272156441,1.210542942,0.404595502
57.2,43,21.5,0.375245789,0.366501227,0.733002453,2.100947947,0.134323149
57.3,24,12,0.20943951,0.207911691,0.415823382,3.703495445,0.043227271
57.4,13,6.5,0.113446401,0.113203214,0.226406428,6.801927033,0.012814968
57.5,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
57.6,11,5.5,0.095993109,0.095845753,0.191691505,8.033741504,0.009186408
57.7,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
57.8,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
57.9,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
58,3,1.5,0.026179939,0.026176948,0.052353897,29.41519351,0.000685233
58.1,3.5,1.75,0.030543262,0.030538513,0.061077026,25.21406313,0.000932601
58.2,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
58.3,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
58.4,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
58.5,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
58.6,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
58.7,8,4,0.06981317,0.069756474,0.139512947,11.03840201,0.004865966
58.8,14.5,7.25,0.126536371,0.126198969,0.252397938,6.101476147,0.01592618
58.9,21.5,10.75,0.187622895,0.186524036,0.373048072,4.128154293,0.034791216
59,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
59.1,17.5,8.75,0.15271631,0.152123386,0.304246772,5.061680648,0.023141525
59.2,14,7,0.122173048,0.121869343,0.243738687,6.318241967,0.014852137
59.3,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
59.4,11,5.5,0.095993109,0.095845753,0.191691505,8.033741504,0.009186408
59.5,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
59.6,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
59.7,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
59.8,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
59.9,7.5,3.75,0.065449847,0.065403129,0.130806258,11.77313699,0.004277569
60,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
60.1,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
60.2,17.5,8.75,0.15271631,0.152123386,0.304246772,5.061680648,0.023141525
60.3,17,8.5,0.148352986,0.147809411,0.295618822,5.209411188,0.021847622
60.4,18,9,0.157079633,0.156434465,0.31286893,4.922188981,0.024471742
60.5,16.5,8.25,0.143989663,0.143492622,0.286985244,5.366129556,0.020590133
60.6,21,10.5,0.183259571,0.182235525,0.364471051,4.225301285,0.033209787
60.7,29,14.5,0.253072742,0.250380004,0.500760008,3.075325455,0.062690146
60.8,26.5,13.25,0.231256126,0.229200391,0.458400782,3.359505614,0.052532819
60.9,26,13,0.226892803,0.224951054,0.449902109,3.422966842,0.050602977
61,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
61.1,14,7,0.122173048,0.121869343,0.243738687,6.318241967,0.014852137
61.2,14.5,7.25,0.126536371,0.126198969,0.252397938,6.101476147,0.01592618
61.3,17.5,8.75,0.15271631,0.152123386,0.304246772,5.061680648,0.023141525
61.4,13.5,6.75,0.117809725,0.117537397,0.235074795,6.551106428,0.01381504
61.5,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
61.6,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
61.7,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
61.8,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
61.9,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
62,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
62.1,10.5,5.25,0.091629786,0.091501619,0.183003237,8.41515168,0.008372546
62.2,15.5,7.75,0.135263017,0.13485093,0.269701861,5.710008811,0.018184773
62.3,19,9.5,0.165806279,0.165047606,0.330095212,4.665320627,0.027240712
62.4,53,26.5,0.462512252,0.446197813,0.892395626,1.725692008,0.199092488
62.5,113,56.5,0.986111027,0.833885822,1.667771644,0.923387806,0.695365564
62.6,106,53,0.925024504,0.79863551,1.59727102,0.964144457,0.637818678
62.7,106,53,0.925024504,0.79863551,1.59727102,0.964144457,0.637818678
62.8,60.5,30.25,0.527962099,0.503773977,1.007547954,1.52846323,0.25378822
62.9,34.5,17.25,0.301069296,0.296541575,0.59308315,2.596600494,0.087936906
63,27.5,13.75,0.239982772,0.237685892,0.475371785,3.239569637,0.056494583
63.1,14,7,0.122173048,0.121869343,0.243738687,6.318241967,0.014852137
63.2,13,6.5,0.113446401,0.113203214,0.226406428,6.801927033,0.012814968
63.3,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
63.4,12.5,6.25,0.109083078,0.108866875,0.21773375,7.072858489,0.011851996
63.5,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
63.6,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
63.7,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
63.8,15,7.5,0.130899694,0.130526192,0.261052384,5.899199133,0.017037087
63.9,13.5,6.75,0.117809725,0.117537397,0.235074795,6.551106428,0.01381504
64,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
64.1,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
64.2,10,5,0.087266463,0.087155743,0.174311485,8.834759199,0.007596123
64.3,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
64.4,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
64.5,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
64.6,5.5,2.75,0.047996554,0.047978129,0.095956257,16.04897948,0.002301901
64.7,14,7,0.122173048,0.121869343,0.243738687,6.318241967,0.014852137
64.8,16.5,8.25,0.143989663,0.143492622,0.286985244,5.366129556,0.020590133
64.9,26,13,0.226892803,0.224951054,0.449902109,3.422966842,0.050602977
65,33.5,16.75,0.29234265,0.288196268,0.576392536,2.671790322,0.083057089
65.1,25.5,12.75,0.22252948,0.220697435,0.44139487,3.488939506,0.048707358
65.2,17,8.5,0.148352986,0.147809411,0.295618822,5.209411188,0.021847622
65.3,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
65.4,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
65.5,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
65.6,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
65.7,11,5.5,0.095993109,0.095845753,0.191691505,8.033741504,0.009186408
65.8,12,6,0.104719755,0.104528463,0.209056927,7.36641462,0.0109262
65.9,9.5,4.75,0.082903139,0.082808208,0.165616415,9.298595189,0.006857199
66,8.5,4.25,0.074176493,0.07410849,0.14821698,10.39017254,0.005492068
66.1,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
66.2,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
66.3,4.5,2.25,0.039269908,0.039259816,0.078519632,19.61292953,0.001541333
66.4,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
66.5,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
66.6,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
66.7,4,2,0.034906585,0.034899497,0.069798993,22.06335543,0.001217975
66.8,3,1.5,0.026179939,0.026176948,0.052353897,29.41519351,0.000685233
66.9,6,3,0.052359878,0.052335956,0.104671912,14.71263841,0.002739052
67,9,4.5,0.078539816,0.078459096,0.156918191,9.814031029,0.00615583
67.1,11.5,5.75,0.100356432,0.100188062,0.200376123,7.685546437,0.010037648
67.2,15.5,7.75,0.135263017,0.13485093,0.269701861,5.710008811,0.018184773
67.3,17.5,8.75,0.15271631,0.152123386,0.304246772,5.061680648,0.023141525
67.4,12,6,0.104719755,0.104528463,0.209056927,7.36641462,0.0109262
67.5,7,3.5,0.061086524,0.06104854,0.122097079,12.61291434,0.003726924
67.6,6.5,3.25,0.056723201,0.056692788,0.113385575,13.58197459,0.003214072
67.7,5,2.5,0.043633231,0.043619387,0.087238775,17.65270093,0.001902651
